Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/blockchain/all-records/,204,7,226000.0,198858.20976977455,78.30578600987792,245319.4984610018,392547.60784313723,0.11332800667862336,0.0038887061115213902,226000,234000,236000,237000,238000,240000,242000,242000,245000,245000,245000
POST,/blockchain/append-data,3,0,338.6514440062456,337.85694300119457,336.6729389963439,338.6514440062456,87.0,0.0016665883335091672,0.0,340,340,340,340,340,340,340,340,340,340,340
DELETE,/blockchain/delete-record?key=H1AUMH0D9M76R7NNG&key_field=vin,3,0,338.0203299893765,336.9319709939494,336.2913439923432,338.0203299893765,87.0,0.0016665883335091672,0.0,340,340,340,340,340,340,340,340,340,340,340
GET,/blockchain/latest-record?key=82HFE9767U326DEZ2&key_field=vin,206,5,227000.0,196790.46535544674,32.00299199670553,244404.99630999693,397.121359223301,0.11443906556762948,0.0027776472225152786,227000,233000,235000,236000,238000,239000,241000,243000,244000,244000,244000
GET,/blockchain/record-history?key=82HFE9767U326DEZ2&key_field=vin,204,7,230000.0,198402.652481476,28.953576998901553,243105.4953950079,1588.4166666666667,0.11332800667862336,0.0038887061115213902,230000,235000,236000,237000,239000,240000,241000,241000,243000,243000,243000
DELETE,/db/delete/?key=H1AUMH0D9M76R7NNG,2,0,171.45275299844798,195.15206049982226,171.45275299844798,218.85136800119653,41.0,0.0011110588890061114,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/db/retrieve/all/,9563,317,590.0,2953.6079597326866,1.3558729988289997,18526.503153989324,303141.87033357733,5.312528077782722,0.17610283390746867,590,780,2500,8400,11000,12000,14000,14000,17000,19000,19000
GET,/db/retrieve/specific/?key=H1AUMH0D9M76R7NNG,9506,283,820.0,3076.5668967819424,12.701715997536667,18277.36885700142,10.787397433200084,5.280862899446047,0.15721483279436477,820,1100,2000,8300,11000,12000,14000,14000,16000,18000,18000
PUT,/db/update/?key=82HFE9767U326DEZ2,1,0,75.49250501324423,75.49250501324423,75.49250501324423,75.49250501324423,41.0,0.0005555294445030557,0.0,75,75,75,75,75,75,75,75,75,75,75
,Aggregated,19692,619,710.0,9093.730437008837,1.3558729988289997,245319.4984610018,151306.84806012595,10.939485821154173,0.3438727261473915,710,1000,6900,9100,12000,13000,214000,235000,241000,244000,245000
