Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/blockchain/all-records/,201,4,229000.0,204351.13081968584,254.4291199883446,246178.15334499755,400821.49253731343,0.11166143442118553,0.0022221180979340406,229000,237000,238000,239000,241000,243000,244000,244000,246000,246000,246000
POST,/blockchain/append-data,1,0,520.276808005292,520.276808005292,520.276808005292,520.276808005292,87.0,0.0005555295244835101,0.0,520,520,520,520,520,520,520,520,520,520,520
DELETE,/blockchain/delete-record?key=H1AUMH0D9M76R7NNG&key_field=vin,1,0,521.0004270047648,521.0004270047648,521.0004270047648,521.0004270047648,87.0,0.0005555295244835101,0.0,520,520,520,520,520,520,520,520,520,520,520
GET,/blockchain/latest-record?key=82HFE9767U326DEZ2&key_field=vin,218,11,222000.0,194506.67891448105,14.28404200123623,248259.4829879963,385.3807339449541,0.12110543633740521,0.006110824769318611,224000,236000,238000,239000,240000,242000,244000,244000,248000,248000,248000
GET,/blockchain/record-history?key=82HFE9767U326DEZ2&key_field=vin,200,9,222000.0,194842.4118483949,3.4794759994838387,246974.43361199112,721.85,0.11110590489670202,0.0049997657203515915,223000,236000,238000,239000,241000,242000,244000,246000,247000,247000,247000
DELETE,/db/delete/?key=H1AUMH0D9M76R7NNG,1,0,223.2347800018033,223.2347800018033,223.2347800018033,223.2347800018033,41.0,0.0005555295244835101,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/db/retrieve/all/,9485,294,600.0,2903.1742163664626,11.184406990651041,17697.391797992168,306288.5003690037,5.269197539726093,0.16332568019815197,600,800,1100,8700,11000,12000,13000,14000,16000,18000,18000
GET,/db/retrieve/specific/?key=H1AUMH0D9M76R7NNG,9535,331,850.0,3166.220993316552,2.1050200011814013,18934.77100999735,10.650131095962244,5.296974015950269,0.18388027260404186,850,1200,4500,8900,11000,12000,13000,14000,17000,19000,19000
PUT,/db/update/?key=82HFE9767U326DEZ2,2,0,143.83353599987458,164.31564649974462,143.83353599987458,184.79775699961465,41.0,0.0011110590489670203,0.0,180,180,180,180,180,180,180,180,180,180,180
,Aggregated,19644,649,730.0,9171.942243158654,2.1050200011814013,248259.4829879963,152007.82809000203,10.912821978954073,0.36053866138979807,730,1100,7700,9300,11000,13000,211000,237000,243000,247000,248000
